DNA_Clean_Log_File - File name = A_Clean_File_2022-07-27125456 - AA code = invert - AGCT only = TRUE
********** Anopheles_COI_MAFFT_Trimmed - 2022-07-27 12:54:56 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
mattogrossensis	6	3	3	3	3	3	0.0216666666666667	0.0783333333333333	YES
medialis	21	11	11	11	11	11	0.0233333333333333	0.0733333333333333	YES
melanoon	8	8	8	8	8	8	0.0133333333333333	0.0166666666666667	YES
melas	19	11	11	11	11	11	0.0233333333333333	0.01	NO
merus	1	1	1	1	1	1	NA	NA	NA
messeae	59	50	50	50	50	50	0.0333333333333333	0	NO
minimus	46	35	35	35	35	35	0.0483333333333333	0.005	NO
neivai	22	16	16	16	16	16	0.138333333333333	0.00166666666666667	NO
neomaculipalpus	2	1	1	1	1	1	NA	NA	NA
nigerrimus	42	21	20	20	20	19	0.0133333333333333	0.0416666666666667	YES
nilgiricus	2	1	1	1	1	1	NA	NA	NA
nimbus	6	3	3	3	3	3	0.00166666666666667	0.0966666666666667	YES
nitidus	86	43	43	43	43	43	0.0233333333333333	0.0316666666666667	YES
nuneztovari	183	110	110	110	110	110	0.0316666666666667	0	NO
oryzalimnetes	296	289	289	289	289	289	0.0183333333333333	0.0183333333333333	NO
oswaldoi	27	21	21	21	21	21	0.0566666666666667	0	NO
pallidus	4	2	2	2	2	2	0	0.0766666666666667	YES
paraliae	26	3	3	3	3	3	0	0	NO
parensis	1	1	1	1	1	1	NA	NA	NA
parvus	18	9	9	9	9	8	0.005	0.111666666666667	YES
peditaeniatus	58	33	32	32	32	32	0.0133333333333333	0.0283333333333333	YES
perplexens	4	4	4	4	4	4	0.015	0.00166666666666667	NO
peryassui	15	8	8	8	8	7	0.0116666666666667	0.08	YES
petragnani	21	13	13	13	13	13	0.00666666666666667	0.055	YES
pharoensis	37	36	36	36	36	36	0.0283333333333333	0.095	YES
pholidotus	2	2	2	2	2	2	0.00333333333333333	0.0716666666666667	YES
plumbeus	1	NA	NA	NA	NA	NA	-	-	-
pretoriensis	3	3	3	3	3	3	0.005	0.0966666666666667	YES
pristinus	11	11	11	11	11	10	0.00666666666666667	0.085	YES
pseudopictus	3	3	3	3	3	3	0.00833333333333333	0.005	NO
pseudopunctipennis	51	38	38	38	38	34	0.0266666666666667	0.103333333333333	YES
pseudowillmori	9	9	9	9	9	9	0.0133333333333333	0.085	YES
pulcherrimus	13	13	12	12	12	12	0.01	0.0866666666666667	YES
pullus	10	9	9	9	9	9	0.0116666666666667	0.0133333333333333	YES
punctimacula	5	5	5	5	5	5	0.005	0.0766666666666667	YES
punctipennis	203	202	202	202	202	196	0.0266666666666667	0.00166666666666667	NO
punctulatus	6	6	6	6	6	6	0.005	0.0583333333333333	YES
pursati	32	16	16	16	16	16	0.0116666666666667	0.0316666666666667	YES
quadriannulatus	3	2	2	2	2	2	0.00833333333333333	0.00333333333333333	NO
quadrimaculatus	2	2	2	2	2	2	0.116666666666667	0.00166666666666667	NO
